cruise,cast,niskin,date,sal00,sal11,sigma_t00,sigma_t11,oxsatmm_kg,sbox0mm_kg,potemp090c,potemp190c,svcm,svcm1,scan,timej,times,prdm,depsm,t090c,t190c,t2_t190c,c0s_m,c1s_m,v0,fleco_afl,v1,turbwetntu0,v2,altm,v3,sbeox0v,v4,par,cpar,v5,cstarat0,cstartr0,v6,v7,spar,latitude,longitude
AT46,1,1,2022-02-16 18:29:47+00:00,32.8,32.7905,26.0311,26.0237,320.40063,299.754,4.0512,4.0505,1464.3,1464.29,6769.0,47.770671,282.0,18.018,17.877,4.0524,4.0517,-0.0007,3.075274,3.074415,0.1749,1.312,0.1153,0.3853,0.1416,2.83,2.5329,2.5329,1.8798,7.9329,242.43,4.1969,0.4537,89.2777,0.1367,0.0002,3.6801,41.19686,-70.883
AT46,1,2,2022-02-16 18:29:56+00:00,32.8,32.7906,26.0312,26.0237,320.40246,299.738,4.051,4.051,1464.3,1464.29,6989.0,47.770777,291.167,18.046,17.905,4.0522,4.0522,1.3276e-20,3.075255,3.074463,0.1727,1.2826,0.1147,0.3825,0.1436,2.87,2.533,2.533,1.88,7.9359,218.25,4.1831,0.4669,88.9829,0.1367,0.0002,3.8966,41.19686,-70.883
AT46,1,3,2022-02-16 18:30:04+00:00,32.8001,32.7909,26.0312,26.0238,320.39636,299.646,4.0517,4.052,1464.3,1464.29,7185.0,47.770872,299.333,17.905,17.765,4.0529,4.0531,0.0002,3.075322,3.074558,0.1774,1.3438,0.1152,0.3853,0.1458,2.92,2.5336,2.5336,1.9144,8.5998,251.51,4.1998,0.4509,89.3393,0.1366,0.0002,3.7162,41.19684,-70.883
AT46,1,4,2022-02-16 18:30:12+00:00,32.8004,32.791,26.0313,26.0239,320.38699,299.769,4.0528,4.0522,1464.31,1464.3,7383.0,47.770967,307.583,17.984,17.843,4.054,4.0534,-0.0006,3.075447,3.074598,0.1787,1.3606,0.1279,0.4616,0.1493,2.98,2.5343,2.5343,1.9044,8.4022,256.24,4.1878,0.4624,89.0828,0.1258,0.0002,3.7162,41.19684,-70.883
AT46,1,5,2022-02-16 18:30:21+00:00,32.7998,32.7905,26.0311,26.0237,320.40613,299.57,4.0506,4.0504,1464.3,1464.29,7594.0,47.771069,316.375,18.021,17.88,4.0517,4.0516,-0.0001,3.075205,3.074406,0.1722,1.2774,0.1205,0.4172,0.1481,2.96,2.5325,2.5325,1.9082,8.4762,238.19,4.1917,0.4587,89.1667,0.1367,0.0002,3.9327,41.19684,-70.883
AT46,1,6,2022-02-16 18:33:03+00:00,32.7968,32.7873,26.0294,26.0219,320.47139,300.0,4.0437,4.0432,1464.14,1464.12,11492.0,47.772949,478.792,10.029,9.951,4.0444,4.0439,-0.0005,3.073967,3.073119,0.1855,1.4488,0.1242,0.4395,0.5362,10.72,2.537,2.5371,2.7301,56.859,1487.8,4.2025,0.4483,89.3977,0.1325,0.0002,4.1131,41.1967,-70.88286
AT46,1,7,2022-02-16 18:33:11+00:00,32.7976,32.7881,26.0298,26.0223,320.44997,300.185,4.0462,4.0458,1464.15,1464.13,11681.0,47.77304,486.667,9.945,9.867,4.0468,4.0464,-0.0004,3.074245,3.073405,0.1849,1.4423,0.1154,0.3864,0.5387,10.77,2.537,2.5371,2.744,58.712,1400.4,4.185,0.4651,89.0239,0.1363,0.0002,4.546,41.19668,-70.88286
AT46,1,8,2022-02-16 18:33:19+00:00,32.7981,32.7885,26.03,26.0224,320.43612,299.521,4.0478,4.0475,1464.15,1464.14,11860.0,47.773126,494.125,10.009,9.931,4.0485,4.0482,-0.0003,3.074426,3.07359,0.1772,1.3422,0.1214,0.4226,0.5389,10.78,2.5363,2.5364,2.7409,58.305,1473.5,4.1927,0.4577,89.1874,0.1362,0.0002,4.2574,41.19668,-70.88284
AT46,1,9,2022-02-16 18:33:28+00:00,32.7951,32.7852,26.0283,26.0206,320.49313,300.04,4.0415,4.0399,1464.12,1464.1,12073.0,47.773229,503.0,9.859,9.782,4.0421,4.0405,-0.0016,3.073626,3.072655,0.1827,1.4131,0.1254,0.4466,0.5444,10.89,2.536,2.5361,2.7502,59.578,1383.9,4.1925,0.4579,89.1837,0.1156,0.0001,4.5821,41.19666,-70.88284
AT46,1,10,2022-02-16 18:33:39+00:00,32.7927,32.7833,26.0269,26.0194,320.54392,300.044,4.0357,4.0357,1464.1,1464.08,12349.0,47.773362,514.5,9.961,9.883,4.0364,4.0363,-0.0001,3.072941,3.072139,0.1764,1.3321,0.1226,0.4296,0.5452,10.9,2.5371,2.5372,2.7182,55.327,1436.8,4.1807,0.4692,88.9325,0.1156,0.0002,4.1131,41.19666,-70.88282
AT46,1,11,2022-02-16 18:33:48+00:00,32.7912,32.782,26.0261,26.0188,320.57653,300.371,4.032,4.0322,1464.08,1464.07,12574.0,47.773471,523.875,9.978,9.9,4.0327,4.0329,0.0002,3.072506,3.071745,0.1798,1.3752,0.118,0.4016,0.5284,10.57,2.537,2.5371,2.7112,54.432,1293.4,4.199,0.4516,89.3234,0.1364,0.0002,4.5821,41.19664,-70.88282
AT46,1,12,2022-02-16 18:35:29+00:00,32.795,32.7849,26.0282,26.0202,320.49415,300.167,4.0419,4.0411,1463.99,1463.97,14998.0,47.77464,624.875,1.82,1.806,4.042,4.0413,-0.0007,3.073256,3.072333,0.1532,1.0299,0.1216,0.4236,0.941,18.82,2.5394,2.5394,3.7013,608.1,14968.0,4.1729,0.4767,88.7658,0.1367,0.0002,4.4378,41.19656,-70.88282
AT46,1,13,2022-02-16 18:35:38+00:00,32.7955,32.7855,26.0285,26.0207,320.48389,300.226,4.043,4.041,1464.0,1463.98,15196.0,47.774735,633.125,2.073,2.056,4.0432,4.0411,-0.002,3.073405,3.072386,0.1593,1.1089,0.1191,0.409,0.9426,18.85,2.5394,2.5394,3.5519,378.29,8875.6,4.1795,0.4704,88.9059,0.1365,0.0002,4.6182,41.19656,-70.88282
AT46,1,14,2022-02-16 18:35:46+00:00,32.7948,32.7855,26.028,26.0207,320.49623,300.226,4.0417,4.0414,1463.99,1463.98,15392.0,47.77483,641.292,1.841,1.827,4.0418,4.0415,-0.0003,3.07322,3.07241,0.1487,0.9706,0.1147,0.3823,0.9501,19.0,2.54,2.54,3.5961,418.5,9659.0,4.1795,0.4703,88.9065,0.1218,0.0002,4.6182,41.19656,-70.88282
AT46,1,15,2022-02-16 18:35:53+00:00,32.7962,32.787,26.0288,26.0215,320.4606,299.958,4.0458,4.0458,1464.01,1464.0,15563.0,47.774912,648.417,1.787,1.774,4.0459,4.0459,-0.0,3.073688,3.072907,0.1446,0.9181,0.1165,0.3933,0.9547,19.1,2.5397,2.5397,3.6243,448.1,10301.0,4.1825,0.4675,88.9697,0.1368,0.0001,4.546,41.19656,-70.88282
AT46,1,16,2022-02-16 18:36:08+00:00,32.7936,32.784,26.0274,26.0199,320.5189,300.029,4.0392,4.0376,1463.98,1463.96,15922.0,47.775085,663.375,1.769,1.756,4.0393,4.0377,-0.0016,3.072903,3.071956,0.1471,0.9502,0.1181,0.4028,0.9568,19.14,2.5395,2.5395,3.6174,439.76,10679.0,4.1802,0.4697,88.9219,0.1162,0.0002,4.4739,41.19656,-70.88284
AT46,1,17,2022-02-16 18:36:21+00:00,32.7962,32.7868,26.0287,26.0214,320.45553,300.194,4.0464,4.0446,1464.02,1464.0,16230.0,47.775234,676.208,2.26,2.242,4.0466,4.0447,-0.0018,3.073762,3.072807,0.1458,0.9334,0.1201,0.4143,0.9569,19.14,2.5401,2.5402,3.5756,407.94,10495.0,4.1762,0.4735,88.8353,0.13,0.0002,4.4017,41.19656,-70.88284
AT46,1,18,2022-02-16 18:36:33+00:00,32.7934,32.784,26.027,26.0195,320.50718,300.195,4.0407,4.0412,1463.98,1463.97,16517.0,47.775372,688.167,1.753,1.74,4.0408,4.0413,0.0004,3.073017,3.072254,0.1479,0.9603,0.1276,0.4599,0.9547,19.1,2.5398,2.5398,3.6969,555.3,12493.0,4.1628,0.4864,88.5507,0.1367,0.0001,4.7264,41.19656,-70.88286
AT46,1,19,2022-02-16 18:36:42+00:00,32.7914,32.7816,26.026,26.0184,320.5575,300.459,4.0349,4.0333,1463.96,1463.94,16736.0,47.775478,697.292,1.929,1.914,4.0351,4.0335,-0.0016,3.072365,3.071401,0.1429,0.8961,0.122,0.4258,0.9534,19.07,2.5406,2.5407,3.6126,434.77,10208.0,4.134,0.5143,87.9367,0.1195,0.0001,4.546,41.19656,-70.88286
AT46,1,20,2022-02-16 18:36:50+00:00,32.791,32.7819,26.0259,26.0186,320.57027,300.497,4.0334,4.0338,1463.95,1463.94,16944.0,47.775578,705.958,2.018,2.002,4.0335,4.0339,0.0004,3.07221,3.07147,0.1417,0.8799,0.1135,0.3749,0.9595,19.19,2.5403,2.5404,3.605,427.48,9973.3,4.1679,0.4814,88.6601,0.1368,0.0002,4.6543,41.19656,-70.88286
AT46,1,21,2022-02-16 18:36:58+00:00,32.7959,32.7866,26.0285,26.0212,320.46053,300.212,4.0459,4.0452,1464.01,1464.0,17120.0,47.775663,713.292,2.133,2.116,4.046,4.0453,-0.0007,3.073683,3.072836,0.1425,0.8899,0.1182,0.4033,0.9601,19.2,2.5397,2.5397,3.5887,411.44,8813.4,4.1799,0.47,88.9139,0.1367,0.0002,5.0511,41.19656,-70.88286
AT46,1,22,2022-02-16 18:37:04+00:00,32.7956,32.7857,26.0284,26.0207,320.47261,299.901,4.0444,4.0431,1464.0,1463.99,17279.0,47.77574,719.917,2.003,1.987,4.0446,4.0433,-0.0013,3.073532,3.07258,0.1467,0.945,0.1169,0.3949,0.9556,19.11,2.5396,2.5396,3.6078,432.22,9413.2,4.1842,0.4658,89.0074,0.1248,0.0002,4.8707,41.19656,-70.88288
AT46,1,23,2022-02-16 18:37:11+00:00,32.7955,32.7859,26.0284,26.0209,320.47978,299.888,4.0436,4.043,1464.0,1463.98,17448.0,47.775821,726.958,1.801,1.787,4.0437,4.0431,-0.0006,3.073436,3.072576,0.1423,0.8877,0.1189,0.4075,0.9577,19.16,2.538,2.5381,3.6595,486.77,11401.0,4.1807,0.4692,88.932,0.1368,0.0002,4.6543,41.19656,-70.88288
AT46,1,24,2022-02-16 18:37:18+00:00,32.7957,32.7864,26.0285,26.0212,320.47255,300.11,4.0444,4.0439,1464.01,1463.99,17614.0,47.775901,733.875,2.129,2.113,4.0445,4.044,-0.0006,3.073546,3.072707,0.1463,0.9405,0.117,0.3958,0.9553,19.11,2.5398,2.5398,3.5932,416.5,9225.0,4.1717,0.4778,88.7408,0.1357,0.0002,4.8347,41.19656,-70.88288
AT46,2,1,2022-02-17 02:32:03+00:00,32.7656,32.7564,25.925,25.9178,314.6247,281.757,4.8046,4.804,1468.08,1468.07,6682.0,48.105583,278.375,60.147,59.674,4.809,4.8084,-0.0006,3.138579,3.137736,0.1074,0.4342,0.0873,0.218,0.2575,5.15,2.4415,2.4416,0.0095,3.3844e-05,0.0011596,4.4912,0.1821,95.5493,0.1393,0.0002,3.1389,40.69683,-70.88188
AT46,2,2,2022-02-17 02:32:13+00:00,32.7654,32.7563,25.925,25.9178,314.63051,281.776,4.8039,4.8032,1468.08,1468.07,6934.0,48.105705,288.875,60.323,59.848,4.8082,4.8076,-0.0007,3.138512,3.13766,0.1074,0.4345,0.0866,0.2134,0.2489,4.98,2.4414,2.4415,0.0096,3.068e-05,2040.8,4.4922,0.1812,95.571,0.1289,0.0002,2.9946,40.69686,-70.88188
AT46,2,3,2022-02-17 02:35:11+00:00,32.7649,32.7557,25.9249,25.9178,314.65648,281.447,4.8012,4.8003,1467.94,1467.92,11196.0,48.10776,466.458,52.364,51.953,4.805,4.8041,-0.0009,3.137838,3.13697,0.1082,0.4452,0.0877,0.2203,0.6558,13.12,2.442,2.4422,0.0096,3.7679e-05,0.0012563,4.501,0.1733,95.7596,0.1394,0.0002,3.7884,40.69698,-70.88178
AT46,2,4,2022-02-17 02:35:22+00:00,32.7651,32.7557,25.925,25.9177,314.65363,281.511,4.8016,4.8006,1467.94,1467.93,11452.0,48.107883,477.125,52.435,52.024,4.8053,4.8044,-0.001,3.137884,3.136995,0.1056,0.4105,0.0883,0.224,0.6514,13.03,2.4417,2.4418,0.0096,3.8446e-05,0.0011379,4.5014,0.173,95.7681,0.1394,0.0001,3.5719,40.69698,-70.88176
AT46,2,5,2022-02-17 02:35:32+00:00,32.765,32.7559,25.925,25.9178,314.65244,281.621,4.8017,4.801,1467.94,1467.93,11707.0,48.108006,487.75,52.509,52.097,4.8055,4.8047,-0.0008,3.137898,3.137043,0.1038,0.3872,0.0881,0.2227,0.646,12.92,2.4423,2.4425,0.0095,3.068e-05,0.00088938,4.4908,0.1824,95.5413,0.1394,0.0001,3.6801,40.69696,-70.88174
AT46,2,6,2022-02-17 02:35:43+00:00,32.7651,32.756,25.925,25.9178,314.6482,281.656,4.8023,4.8017,1467.94,1467.93,11965.0,48.108131,498.5,52.306,51.895,4.806,4.8055,-0.0005,3.137943,3.137104,0.1041,0.3918,0.0882,0.2233,0.6579,13.16,2.4424,2.4426,0.0095,2.9913e-05,0.00095446,4.4995,0.1746,95.7283,0.1393,0.0003,3.608,40.69694,-70.88174
AT46,2,7,2022-02-17 02:38:03+00:00,32.7609,32.7518,25.9242,25.917,314.8374,282.907,4.7797,4.7791,1467.62,1467.6,15328.0,48.109753,638.625,38.463,38.162,4.7825,4.7818,-0.0007,3.134961,3.134116,0.1116,0.4886,0.092,0.2463,1.3581,27.16,2.4525,2.4527,0.0096,3.1447e-05,0.0009183,4.4998,0.1744,95.733,0.1394,0.0002,3.8605,40.69682,-70.8817
AT46,2,8,2022-02-17 02:38:14+00:00,32.761,32.7516,25.9243,25.917,314.84183,282.986,4.7791,4.7788,1467.61,1467.6,15595.0,48.109881,649.75,38.528,38.226,4.7819,4.7815,-0.0004,3.134919,3.134081,0.1119,0.4925,0.0968,0.2747,1.3573,27.15,2.4527,2.4529,0.0097,3.9213e-05,0.0010575,4.501,0.1733,95.7591,0.1394,0.0002,3.8605,40.69682,-70.8817
AT46,2,9,2022-02-17 02:38:23+00:00,32.7609,32.7518,25.9243,25.9171,314.84323,282.432,4.779,4.7791,1467.61,1467.6,15802.0,48.109981,658.375,38.415,38.115,4.7817,4.7818,0.0001,3.134894,3.134115,0.1032,0.3798,0.0913,0.242,1.3594,27.19,2.4507,2.4509,0.0095,2.9146e-05,2040.8,4.5037,0.1709,95.8169,0.1394,0.0002,3.7162,40.69682,-70.88169
AT46,2,10,2022-02-17 02:38:34+00:00,32.7608,32.7517,25.9242,25.917,314.84056,282.453,4.7793,4.7787,1467.62,1467.6,16059.0,48.110105,669.083,38.628,38.326,4.7821,4.7815,-0.0006,3.134927,3.134085,0.1022,0.3668,0.0894,0.2303,1.3494,26.99,2.4511,2.4514,0.0096,3.1447e-05,0.00096169,4.5033,0.1713,95.8068,0.1394,0.0002,3.8244,40.69684,-70.8817
AT46,2,11,2022-02-17 02:38:43+00:00,32.7608,32.7518,25.9242,25.9171,314.84044,282.196,4.7794,4.7787,1467.61,1467.6,16296.0,48.110219,678.958,38.435,38.134,4.7821,4.7815,-0.0006,3.13492,3.134086,0.1094,0.4598,0.0826,0.1899,1.3584,27.17,2.45,2.4502,0.0096,3.7679e-05,0.0011669,4.5072,0.1678,95.8913,0.1394,0.0002,3.608,40.69682,-70.88168
AT46,2,12,2022-02-17 02:38:54+00:00,32.7607,32.7516,25.9242,25.917,314.84965,282.683,4.7782,4.7775,1467.61,1467.59,16540.0,48.110337,689.125,38.47,38.169,4.7809,4.7803,-0.0006,3.134812,3.133968,0.1067,0.4258,0.085,0.2038,1.3595,27.19,2.4511,2.4513,0.0096,3.1447e-05,0.00080622,4.5039,0.1707,95.8217,0.1195,0.0001,4.0048,40.69684,-70.88168
AT46,2,13,2022-02-17 02:41:48+00:00,32.7578,32.7485,25.9233,25.9159,314.95542,283.558,4.7667,4.7668,1467.21,1467.2,20722.0,48.112354,863.375,17.541,17.405,4.7679,4.768,0.0001,3.132533,3.131729,0.1128,0.5041,0.0812,0.1817,2.4243,48.49,2.4616,2.4619,0.0098,3.6816e-05,0.0010485,4.5167,0.1594,96.0936,0.1393,0.0003,3.9327,40.69726,-70.8815
AT46,2,14,2022-02-17 02:42:22+00:00,32.7569,32.7475,25.9231,25.9157,314.99047,283.688,4.7624,4.7615,1467.19,1467.17,21534.0,48.112745,897.208,17.478,17.343,4.7636,4.7628,-0.0008,3.132085,3.131198,0.1176,0.5663,0.1021,0.3064,2.4292,48.58,2.463,2.4632,0.0097,4.1514e-05,0.0013106,4.5087,0.1665,95.9221,0.1396,0.0002,4.0409,40.6973,-70.88146
AT46,2,15,2022-02-17 02:42:38+00:00,32.7575,32.7482,25.9232,25.9159,314.96979,284.118,4.7649,4.7656,1467.2,1467.19,21928.0,48.112935,913.625,17.466,17.33,4.7662,4.7668,0.0006,3.132347,3.131605,0.1109,0.4792,0.083,0.192,2.4319,48.64,2.4643,2.4645,0.0096,3.2214e-05,0.00085684,4.5106,0.1648,95.963,0.1396,0.0002,4.0048,40.69733,-70.88144
AT46,2,16,2022-02-17 02:42:49+00:00,32.7582,32.7486,25.9235,25.916,314.94076,283.595,4.7685,4.7665,1467.22,1467.2,22186.0,48.11306,924.375,17.596,17.459,4.7697,4.7677,-0.002,3.132725,3.131719,0.1126,0.5019,0.0887,0.2261,2.4184,48.37,2.4618,2.4621,0.0095,2.9913e-05,0.00079899,4.5135,0.1622,96.0251,0.1396,0.0002,3.9688,40.69734,-70.88144
AT46,2,17,2022-02-17 02:43:01+00:00,32.7575,32.7483,25.9231,25.9161,314.95846,283.714,4.7664,4.7634,1467.21,1467.18,22482.0,48.113203,936.708,17.485,17.35,4.7676,4.7646,-0.003,3.132476,3.131423,0.1117,0.4899,0.0808,0.1788,2.4273,48.55,2.4634,2.4636,0.0097,3.9213e-05,0.0010584,4.5025,0.1721,95.7898,0.1397,0.0002,4.0048,40.69735,-70.88144
AT46,2,18,2022-02-17 02:45:20+00:00,32.7562,32.7467,25.923,25.9155,315.0251,283.939,4.7591,4.7583,1466.93,1466.92,25806.0,48.114806,1075.208,2.732,2.711,4.7593,4.7585,-0.0008,3.131004,3.130114,0.1111,0.4821,0.0814,0.1826,3.1796,63.59,2.4678,2.4681,0.5488,0.27399,7.3513,4.5047,0.17,95.8382,0.1394,0.0002,4.1852,40.69738,-70.88134
AT46,2,19,2022-02-17 02:45:33+00:00,32.7562,32.7468,25.923,25.9157,315.02675,283.722,4.7589,4.7582,1466.93,1466.91,26131.0,48.114962,1088.75,2.512,2.493,4.7591,4.7583,-0.0008,3.130973,3.130102,0.1068,0.4264,0.0831,0.1925,3.1803,63.61,2.4668,2.4671,0.5434,0.26661,7.2771,4.4995,0.1747,95.7261,0.1199,0.0001,3.9688,40.69738,-70.88132
AT46,2,20,2022-02-17 02:45:46+00:00,32.7561,32.7468,25.9229,25.9156,315.02645,283.856,4.759,4.7581,1466.93,1466.91,26444.0,48.115113,1101.792,2.553,2.533,4.7592,4.7583,-0.0008,3.130972,3.130098,0.1097,0.4637,0.0825,0.1888,3.1777,63.55,2.4676,2.4679,0.4878,0.21966,5.4718,4.5081,0.167,95.9094,0.1297,0.0001,4.3656,40.69736,-70.88132
AT46,2,21,2022-02-17 02:46:05+00:00,32.7561,32.7468,25.9229,25.9156,315.02794,283.91,4.7588,4.7582,1466.93,1466.91,26887.0,48.115327,1120.25,2.67,2.649,4.759,4.7584,-0.0006,3.130964,3.130107,0.111,0.4811,0.0916,0.2437,3.185,63.7,2.467,2.4672,0.5071,0.23704,5.9901,4.5025,0.172,95.7915,0.1394,0.0002,4.4017,40.69736,-70.8813
AT46,2,22,2022-02-17 02:46:25+00:00,32.7561,32.7468,25.9229,25.9156,315.02486,283.886,4.7592,4.7584,1466.93,1466.91,27381.0,48.115565,1140.833,2.541,2.521,4.7594,4.7586,-0.0008,3.130994,3.130123,0.1082,0.4449,0.0875,0.2189,3.1791,63.58,2.4676,2.4678,0.5553,0.28115,6.8561,4.5041,0.1706,95.8244,0.1394,0.0002,4.4378,40.69736,-70.8813
AT46,2,23,2022-02-17 02:46:39+00:00,32.756,32.7467,25.9228,25.9156,315.02886,283.968,4.7587,4.7581,1466.93,1466.92,27708.0,48.115723,1154.458,2.997,2.974,4.7589,4.7583,-0.0005,3.13096,3.130115,0.1151,0.534,0.0915,0.2432,3.1818,63.64,2.4666,2.4668,0.5156,0.24307,5.8087,4.5052,0.1696,95.8488,0.1395,0.0002,4.4378,40.69736,-70.88129
AT46,2,24,2022-02-17 02:46:57+00:00,32.756,32.7467,25.9228,25.9155,315.02484,283.956,4.7592,4.7584,1466.93,1466.91,28140.0,48.115931,1172.458,2.396,2.377,4.7594,4.7585,-0.0008,3.130981,3.130103,0.1095,0.4611,0.0839,0.1974,3.1829,63.66,2.4677,2.4679,0.5801,0.30621,7.642,4.5071,0.1679,95.8892,0.1395,0.0001,4.4378,40.69738,-70.88128
AT46,3,1,2022-02-17 05:23:59+00:00,32.9795,32.9706,25.9845,25.9775,306.98692,275.58,5.7628,5.7619,1472.44,1472.42,7987.0,48.224986,332.75,71.559,70.995,5.7685,5.7677,-0.0009,3.240357,3.239494,0.084,0.1309,0.0848,0.2028,0.2072,4.14,2.4486,2.4487,0.0094,2.6078e-05,4081.6,4.5299,0.1477,96.3741,0.1408,0.0002,3.3193,40.51412,-70.882
AT46,3,2,2022-02-17 05:24:08+00:00,32.9794,32.9706,25.9844,25.9775,306.98694,275.435,5.7628,5.7618,1472.44,1472.42,8189.0,48.225083,341.167,71.442,70.879,5.7686,5.7675,-0.0011,3.240345,3.239467,0.0824,0.1099,0.0884,0.2246,0.2096,4.19,2.4482,2.4483,0.0094,2.6078e-05,0.00088215,4.5287,0.1488,96.3486,0.1411,0.0002,3.2472,40.51412,-70.882
AT46,3,3,2022-02-17 05:27:30+00:00,32.9713,32.9623,25.9816,25.9745,307.22609,276.141,5.7338,5.7334,1472.05,1472.03,13048.0,48.227426,543.625,55.713,55.276,5.7383,5.7378,-0.0005,3.236312,3.235472,0.0848,0.1407,0.0821,0.1868,1.0163,20.33,2.4554,2.4556,0.0095,2.9913e-05,0.00092553,4.5329,0.145,96.4394,0.1411,0.0001,3.5358,40.51406,-70.88182
AT46,3,4,2022-02-17 05:27:48+00:00,32.9716,32.9625,25.9817,25.9746,307.21852,276.227,5.7348,5.7335,1472.05,1472.04,13470.0,48.22763,561.208,55.938,55.5,5.7392,5.7379,-0.0013,3.236429,3.23551,0.0853,0.1475,0.1077,0.3402,1.0046,20.09,2.4556,2.4558,0.0096,3.6145e-05,0.0013431,4.5355,0.1427,96.4946,0.148,0.0002,3.5719,40.51406,-70.8818
AT46,3,5,2022-02-17 05:31:27+00:00,32.9512,32.942,25.9732,25.9662,307.73095,277.833,5.6719,5.6705,1471.59,1471.57,18741.0,48.230172,780.833,44.548,44.2,5.6754,5.674,-0.0014,3.228598,3.227668,0.0876,0.1767,0.0805,0.1771,1.5788,31.58,2.465,2.4653,0.0096,3.6145e-05,0.00097162,4.5341,0.144,96.4638,0.143,0.0002,4.077,40.51411,-70.88162
AT46,3,6,2022-02-17 05:31:37+00:00,32.9503,32.941,25.9732,25.9658,307.77495,278.008,5.6662,5.6663,1471.57,1471.55,18969.0,48.230282,790.333,44.746,44.396,5.6697,5.6698,0.0001,3.228031,3.227222,0.0874,0.1744,0.0983,0.2835,1.5695,31.39,2.467,2.4673,0.0096,3.2981e-05,0.00087491,4.539,0.1397,96.5674,0.1412,0.0002,3.9327,40.51412,-70.8816
AT46,3,7,2022-02-17 05:31:47+00:00,32.9479,32.9396,25.9721,25.9655,307.82833,277.939,5.6596,5.6599,1471.54,1471.53,19206.0,48.230396,800.208,44.772,44.422,5.6631,5.6635,0.0004,3.227257,3.226553,0.0866,0.164,0.0803,0.1754,1.5697,31.39,2.4656,2.4659,0.0096,3.2214e-05,0.00081707,4.5396,0.1391,96.5822,0.1501,0.0001,4.1131,40.51411,-70.88158
AT46,3,8,2022-02-17 05:31:58+00:00,32.9621,32.9538,25.9775,25.9711,307.44132,277.004,5.7081,5.707,1471.75,1471.73,19472.0,48.230524,811.292,44.736,44.387,5.7116,5.7106,-0.0011,3.232711,3.231884,0.0855,0.1488,0.0809,0.1796,1.5695,31.39,2.4665,2.4668,0.0097,3.5282e-05,0.00096169,4.5366,0.1418,96.5169,0.1571,0.0002,4.1131,40.5141,-70.88156
AT46,3,9,2022-02-17 05:35:10+00:00,32.9465,32.9377,25.9717,25.9647,307.87481,278.127,5.655,5.6549,1471.24,1471.22,24096.0,48.232754,1003.958,27.896,27.679,5.6572,5.6571,-0.0001,3.22588,3.225089,0.0867,0.1656,0.0817,0.1839,2.4218,48.44,2.4708,2.4711,0.0096,3.7679e-05,0.00085865,4.5405,0.1384,96.6003,0.1412,0.0002,4.5821,40.5141,-70.88124
AT46,3,10,2022-02-17 05:35:30+00:00,32.9463,32.9374,25.9716,25.9646,307.88111,278.089,5.6542,5.6541,1471.24,1471.23,24560.0,48.232978,1023.292,28.265,28.045,5.6564,5.6563,-0.0001,3.225809,3.225011,0.0889,0.1941,0.0828,0.191,2.4031,48.06,2.4712,2.4715,0.0097,3.6049e-05,0.00099061,4.5369,0.1416,96.5233,0.1354,0.0001,4.1131,40.5141,-70.88121
AT46,3,11,2022-02-17 05:35:43+00:00,32.9461,32.9368,25.9714,25.9644,307.87815,278.309,5.6547,5.6519,1471.24,1471.22,24869.0,48.233127,1036.167,28.278,28.058,5.6569,5.6541,-0.0027,3.225831,3.224773,0.089,0.1951,0.0824,0.1883,2.4022,48.05,2.4714,2.4717,0.0096,3.2214e-05,0.0007773,4.5396,0.1392,96.5817,0.141,0.0001,4.4739,40.5141,-70.88118
AT46,3,12,2022-02-17 05:40:22+00:00,32.9436,32.9345,25.9702,25.9631,307.93368,278.196,5.6499,5.6493,1470.8,1470.78,31577.0,48.236362,1315.667,3.072,3.049,5.6501,5.6495,-0.0006,3.223907,3.223057,0.0894,0.2009,0.0824,0.1884,3.6814,73.63,2.4777,2.478,0.4263,0.17762,4.0911,4.5337,0.1443,96.4563,0.1468,0.0002,4.5821,40.51412,-70.88072
AT46,3,13,2022-02-17 05:40:37+00:00,32.9434,32.9345,25.9702,25.9631,307.94005,278.432,5.649,5.6488,1470.79,1470.78,31928.0,48.236531,1330.292,3.161,3.136,5.6493,5.649,-0.0003,3.223825,3.223012,0.0897,0.2036,0.0824,0.1887,3.6789,73.58,2.4778,2.4781,0.5596,0.28316,6.7997,4.5388,0.1398,96.5658,0.1412,0.0002,4.3656,40.5141,-70.8807
AT46,3,14,2022-02-17 05:40:49+00:00,32.9436,32.9345,25.9703,25.9632,307.93927,278.264,5.6491,5.6481,1470.8,1470.78,32212.0,48.236668,1342.125,3.394,3.368,5.6493,5.6484,-0.0009,3.223856,3.222973,0.0879,0.1802,0.0836,0.1958,3.6902,73.8,2.4779,2.4782,0.4827,0.2171,5.0141,4.5369,0.1415,96.5233,0.1559,0.0002,4.5821,40.5141,-70.88068
AT46,3,15,2022-02-17 05:41:06+00:00,32.9434,32.9346,25.9701,25.9632,307.93578,278.354,5.6496,5.6489,1470.79,1470.78,32623.0,48.236866,1359.25,2.967,2.944,5.6499,5.6491,-0.0007,3.22387,3.223023,0.0869,0.1673,0.0826,0.1899,3.6877,73.75,2.4777,2.478,0.5043,0.23522,5.226,4.5366,0.1418,96.5175,0.143,0.0002,4.8347,40.51409,-70.88064
